Cl,I,Br,Predicted Lattice
0.10,0.79,0.11,6.10962982
0.66,0.09,0.25,5.61600156
0.83,0.07,0.10,5.677497322
0.17,0.59,0.24,5.924924015
0.32,0.42,0.26,5.812194688
0.49,0.26,0.25,5.719288576
0.00,0.50,0.50,5.742
0.5,0,0.5,5.4385
0.5,0.5,0,5.9885
0.33,0.33,0.34,5.71769
0.45,0.4,0.15,5.85385
0.28,0.6,0.12,5.99004
0.24,0.71,0.05,6.09132
0.35,0.5,0.15,5.91455
0.71,0.24,0.05,5.80603
0.6,0.28,0.12,5.7958
,,,
Pseudo cubic lattice:,,,
I,6.292,,
Br,5.192,,
Cl,5.685,,
